PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA
Terance Mann,BKN,34,7.6,3.8,1.9,13.299999999999999
Noah Clowney,BKN,0,0.0,0.0,0.0,0.0
Josh Minott,BKN,0,0.0,0.0,0.0,0.0
Nicolas Claxton,BKN,0,0.0,0.0,0.0,0.0
Tyson Etienne,BKN,0,0.0,0.0,0.0,0.0
Chaney Johnson,BKN,0,0.0,0.0,0.0,0.0
E.J. Liddell,BKN,0,0.0,0.0,0.0,0.0
Michael Porter Jr.,BKN,0,0.0,0.0,0.0,0.0
Payton Pritchard,BOS,45,35.8,9.5,11.0,56.3
Nikola Vučević,BOS,36,26.2,15.1,5.7,47.0
Jordan Walsh,BOS,40,22.0,11.4,3.8,37.199999999999996
Derrick White,BOS,40,12.4,7.6,12.4,32.4
Jaylen Brown,BOS,39,33.0,7.6,7.6,48.2
Baylor Scheierman,BOS,32,13.8,9.5,1.9,25.2
Neemias Queta,BOS,19,11.0,11.4,1.9,24.299999999999997
Sam Hauser,BOS,29,16.5,3.8,0.0,20.3
Ron Harper Jr.,BOS,22,0.0,5.7,1.9,7.6
Hugo González,BOS,12,0.0,3.8,0.0,3.8
Luka Garza,BOS,11,0.0,0.0,0.0,0.0
Amari Williams,BOS,0,0.0,0.0,0.0,0.0
Max Shulga,BOS,0,0.0,0.0,0.0,0.0
Jayson Tatum,BOS,0,0.0,0.0,0.0,0.0
